Sr. No.,Set No.,Set,Full Name,Country,Reserve,Role,MI CT,PR,JSK,PC,DSG,SEC,Winner
,,,,,ZAR'000,,,,,,,,0
1,1,Marquee,Heinrich Klassen,South Africa,175,Wicket Keeper,"4,400","4,000",,"3,500","4,500",,DSG
2,1,Marquee,Jimmy  Neesham,New Zealand,1700,All Rounder,,"3,500",,"3,600",,,PC
3,1,Marquee,Rassie Van Der Dussen,South Africa,850,Batsman,"3,900",,"3,800",,,,MI CT
4,1,Marquee,Odean  Smith,West Indies,1700,Bowler,"1,700",,,,,,MI CT
5,1,Marquee,Tabraiz Shamsi,South Africa,850,Bowler,,"4,300",,"4,200",,,PR
6,1,Marquee,Dwaine Pretorius,South Africa,850,All Rounder,"1,600","2,100",,"3,700","4,100","4,000",DSG
7,1,Marquee,Lungisani Ngidi,South Africa,850,Bowler,"2,800","3,400","1,900",,,"3,300",PR
8,1,Marquee,Marco  Jansen,South Africa,175,All Rounder,,"1,100","6,000","2,900",,"6,100",SEC
,,, ,,,,,,,,,,Unsold
9,2,BA1,Brandon  King,West Indies,850,Batsman,,,,,,,Unsold
10,2,BA1,Tristan  Stubbs,South Africa,175,Batsman,"9,100","4,400","7,100",,,"9,200",SEC
11,2,BA1,Janneman Malan,South Africa,850,Batsman,,,"2,700","2,600",,,JSK
12,2,BA1,Rilee  Rossouw,South Africa,850,Batsman,"5,100",,"6,800","6,900",,,PC
13,2,BA1,Pathum Nissanka,Sri Lanka,850,Batsman,,,,,,,Unsold
14,2,BA1,Jason Roy,England,850,Batsman,,"1,500",,,"1,400",,PR
15,2,BA1,Temba Bavuma,South Africa,850,Batsman,,,,,,,Unsold
16,2,BA1,Reeza Hendricks,South Africa,850,Batsman,"4,400",,"4,500",,,,JSK
17,2,BA1,Harry Brook,England,850,Batsman,,"2,000","2,100",,,,JSK
18,2,BA1,Eoin Morgan,England,850,Batsman,,"2,000",,,,"1,900",PR
,,, ,,,,,,,,,,Unsold
19,3,WK1,Phil Salt,England,850,Wicket Keeper,"1,900",,,"2,000","1,500",950,PC
20,3,WK1,Shai Hope,West Indies,425,Wicket Keeper,,,,,,,Unsold
21,3,WK1,Kyle  Verreynne,South Africa,175,Wicket Keeper,,,175,,,,JSK
22,3,WK1,Kusal  Mendis,Sri Lanka,425,Wicket Keeper,,,,425,,,PC
23,3,WK1,Dane Vilas,South Africa,175,Wicket Keeper,,"3,300",,"3,200",,475,PR
24,3,WK1,Ryan Rickelton,South Africa,175,Wicket Keeper,"1,000",,,950,,475,MI CT
25,3,WK1,Kusal  Perera,Sri Lanka,850,Wicket Keeper,,,,,,,Unsold
26,3,WK1,David Bedingham,South Africa,175,Wicket Keeper,,,,,,,Unsold
27,3,WK1,Dinesh Chandimal,Sri Lanka,850,Wicket Keeper,,,,,,,Unsold
,,, ,,,,,,,,,,Unsold
29,4,AR1,Chamika  Karunaratne,Sri Lanka,850,All Rounder,,,,,,,Unsold
30,4,AR1,Sean Williams,Zimbabwe,425,All Rounder,,,,,,,Unsold
31,4,AR1,Keshav Maharaj,South Africa,850,All Rounder,,"1,900",,"2,400","2,500",,DSG
32,4,AR1,Andile Phehlukwayo,South Africa,850,All Rounder,,,,,,,Unsold
33,4,AR1,Sisanda Magala,South Africa,175,All Rounder,,,"5,300",,,"5,400",SEC
34,4,AR1,Wayne Parnell,South Africa,175,All Rounder,,,"5,500","5,600",,"4,800",PC
35,4,AR1,Keemo Paul,West Indies,850,All Rounder,,,,,850,,DSG
36,4,AR1,Brydon Carse,England,425,All Rounder,,,,,,425,SEC
37,4,AR1,George  Linde,South Africa,175,All Rounder,"3,900","3,800",,"1,600",,,MI CT
38,4,AR1,George  Garton,England,425,All Rounder,,,425,,,,JSK
,,, ,,,,,,,,,,Unsold
39,5,FA1,Alzarri Joseph,West Indies,850,Bowler,"1,000",,"2,100","2,000",,,JSK
40,5,FA1,Tymal  Mills,England,850,Bowler,,,,,,,Unsold
41,5,FA1,Kyle  Abbott,South Africa,175,Bowler,,,,,175,,DSG
42,5,FA1,Matheesha Pathirana,Sri Lanka,850,Bowler,,,,,,,Unsold
43,5,FA1,Josh Little,Ireland,425,Bowler,"1,400",,,"1,500",,,PC
44,5,FA1,Jayden  Seales,West Indies,1700,Bowler,,,,,,,Unsold
45,5,FA1,Beuran Hendricks,South Africa,175,Bowler,275,,250,,,175,MI CT
46,5,FA1,Oshane  Thomas,West Indies,425,Bowler,,,,,,,Unsold
47,5,FA1,Ollie Robinson,England,850,Bowler,,,,,,,Unsold
48,5,FA1,Hardus Viljoen,South Africa,175,Bowler,,,,,,,Unsold
49,5,FA1,Lutho Sipamla,South Africa,175,Bowler,,,,,,,Unsold
,,, ,,,,,,,,,,Unsold
50,6,SP1,Matt Parkinson,England,425,Bowler,,,,,,,Unsold
51,6,SP1,Adil Rashid,England,850,Bowler,,"2,300",,"2,400",,,PC
52,6,SP1,Mason Crane,England,425,Bowler,,,,,,425,SEC
53,6,SP1,Junaid Dawood,South Africa,175,Bowler,,,,350,,375,SEC
54,6,SP1,Bjorn Fortuin ,South Africa,175,Bowler,,"1,500","1,400",700,,,PR
55,6,SP1,Shaun  Von Berg,South Africa,175,Bowler,,300,,325,,,PC
56,6,SP1,Aaron  Phangiso,South Africa,175,Bowler,,,,,,,Unsold
57,6,SP1,Hayden Walsh,West Indies,850,Bowler,,,,,,,Unsold
58,6,SP1,Simon Harmer,South Africa,175,Bowler,,,,,200,175,DSG
,,, ,,,,,,,,,,Unsold
59,7,BA2,Ross Taylor,New Zeland,850,Batsman,,,,,,,Unsold
60,7,BA2,Dean Elgar,South Africa,175,Batsman,,,,,,,Unsold
61,7,BA2,Harry Tector,Ireland,425,Batsman,,,,,,,Unsold
62,7,BA2,Ibrahim Zadran,Afghanistan,425,Batsman,,,,,,,Unsold
63,7,BA2,Keegan Petersen,South Africa,175,Batsman,,,,,,,Unsold
64,7,BA2,William  Jacks,England,850,Batsman,,,,"1,100",,"1,000",PC
65,7,BA2,Cameron Delport,South Africa,175,Batsman,,,,800,750,,PC
66,7,BA2,Avishka  Fernando,Sri Lanka,850,Batsman,,,,,,,Unsold
67,7,BA2,Lendl Simmons,West Indies,850,Batsman,,,,,,,Unsold
68,7,BA2,Sarel Erwee,South Africa,175,Batsman,,,,,,175,SEC
69,7,BA2,Leus  Du Plooy,England,175,Batsman,,,"1,500",,,"1,400",JSK
70,7,BA2,Theunis De Bruyn,South Africa,175,Batsman,,,,"1,000",950,,PC
,,, ,,,,,,,,,,Unsold
71,8,AR2,Carlos Braithwaite,West Indies,850,All Rounder,,,,,,,Unsold
72,8,AR2,Karim Janat,Afghanistan,850,All Rounder,,,,,,,Unsold
73,8,AR2,Craig Overton,England,850,All Rounder,,,,,,,Unsold
74,8,AR2,Colin Ackermann,Netherlands,175,All Rounder,,,,,,,Unsold
75,8,AR2,Jon-Jon Smuts,South Africa,175,All Rounder,,,,,"2,200","2,300",SEC
76,8,AR2,Roston  Chase,West Indies,425,All Rounder,,,,,,,Unsold
77,8,AR2,Lewis  Gregory,England,850,All Rounder,,,850,,,,JSK
78,8,AR2,Duan Jansen,South Africa,175,All Rounder,"3,300",,"3,200",,550,,MI CT
79,8,AR2,Akila Dhanajaya,Sri Lanka,850,All Rounder,,,,,,,Unsold
80,8,AR2,Wiaan Mulder,South Africa,175,All Rounder,,,,"1,800","1,900",,DSG
,,, ,,,,,,,,,,Unsold
81,9,FA2,Chris  Wood,England,175,Bowler,,,,,,,Unsold
82,9,FA2,Lizaad Williams,South Africa,175,Bowler,,300,325,,,,JSK
83,9,FA2,Binura Fernando,Sri Lanka,850,Bowler,,,,,,,Unsold
84,9,FA2,Daryn Dupavillon,South Africa,175,Bowler,"1,600",,,"1,700",,,PC
85,9,FA2,Tom Helm,England,425,Bowler,,,,,,,Unsold
86,9,FA2,Nuwan Pradeep,Sri Lanka,850,Bowler,,,,,,,Unsold
87,9,FA2,Junior Dala,South Africa,175,Bowler,,,,,175,,DSG
88,9,FA2,Duanne Olivier,South Africa,175,Bowler,,,,,,,Unsold
89,9,FA2,Olly  Stone,England,850,Bowler,850,,,,,,MI CT
,,, ,,,,,,,,,,Unsold
90,10,NEXXT,Jonathan Bird,South Africa,175,Batsman,,,,,,,Unsold
91,10,NEXXT,Jordan Cox,England,175,Wicket Keeper,,,,300,,325,SEC
92,10,NEXXT,Matthew Boast,South Africa,175,Bowler,,,,,,,Unsold
94,10,NEXXT,Bryce Parsons,South Africa,175,All Rounder,,,,,,,Unsold
95,10,NEXXT,Dunith Wellalage,Sri Lanka,175,All Rounder,,,,,,,Unsold
96,10,NEXXT,Andile Simelane,South Africa,175,All Rounder,,,,,,,Unsold
97,10,NEXXT,Celeb Seleka,South Africa,175,Bowler,,,175,,,,JSK
98,10,NEXXT,Dilshan Madushanka,Sri Lanka,175,Bowler,,,,250,275,,DSG
99,10,NEXXT,Tiaan Van Vuuren,South Africa,175,All Rounder,,,,,,,Unsold
,,, ,,,,,,,,,,Unsold
100,11,WK2,Grant Roelofsen,South Africa,175,Wicket Keeper,175,,,,,,MI CT
101,11,WK2,Mohammad Shahzad,Afghanistan,425,Wicket Keeper,,,,,,,Unsold
102,11,WK2,Johnson Charles,West Indies,425,Wicket Keeper,,,,,425,,DSG
103,11,WK2,Andries Gous,South Africa,175,Wicket Keeper,,,,,,,Unsold
104,11,WK2,Adam Rossington,England,425,Wicket Keeper,,,,,,425,SEC
105,11,WK2,Connor Esterhuizen,South Africa,175,Wicket Keeper,,,,,,,Unsold
106,11,WK2,Ben  Dunk,Australia,425,Wicket Keeper,,,,,,,Unsold
107,11,WK2,Ruan Hassbroek,South Africa,175,Wicket Keeper,,,,,,,Unsold
,,, ,,,,,,,,,,Unsold
108,12,SP2,Jake Lintott,England,425,Bowler,,,,,,,Unsold
109,12,SP2,Lakshan Sandakan,Sri Lanka,175,Bowler,,,,,,,Unsold
111,12,SP2,Siyabonga Mahima,South Africa,175,Bowler,,,,,,,Unsold
112,12,SP2,Tom Hartley,England,175,Bowler,,,,,,,Unsold
113,12,SP2,Gudakesh Motie,West Indies,425,Bowler,,,,,,,Unsold
114,12,SP2,Fawad Ahmed,Australia,850,Bowler,,,,,,,Unsold
115,12,SP2,Jeffery Vandersay,Sri Lanka,425,Bowler,,,,,,,Unsold
116,12,SP2,Tshepo Ntuli,South Africa,175,Bowler,,,,,,,Unsold
117,12,SP2,Waqar Salamkheil,Afghanistan ,175,Bowler,175,,,,,,MI CT
